Entity,Code,Year,Gini coefficient,990179-annotations,World regions according to OWID,time,time
Afghanistan,AFG,2023,,,Asia,2023,2023
Aland Islands,ALA,2023,,,Europe,2023,2023
Albania,ALB,2023,0.2941963,,Europe,2023,2020
Algeria,DZA,2023,,,Africa,2023,2023
American Samoa,ASM,2023,,,Oceania,2023,2023
Andorra,AND,2023,,,Europe,2023,2023
Angola,AGO,2023,0.51263994,,Africa,2023,2018
Anguilla,AIA,2023,,,North America,2023,2023
Antigua and Barbuda,ATG,2023,,,North America,2023,2023
Argentina,ARG,2023,,,South America,2023,2023
Armenia,ARM,2023,0.27945295,,Asia,2023,2022
Aruba,ABW,2023,,,North America,2023,2023
Australia,AUS,2023,0.34332561,,Oceania,2023,2018
Austria,AUT,2023,0.30701602,,Europe,2023,2021
Austria-Hungary,OWID_AUH,2023,,,Europe,2023,2023
Azerbaijan,AZE,2023,,,Asia,2023,2023
Bahamas,BHS,2023,,,North America,2023,2023
Bahrain,BHR,2023,,,Asia,2023,2023
Bangladesh,BGD,2023,0.33373156,,Asia,2023,2022
Barbados,BRB,2023,,,North America,2023,2023
Belarus,BLR,2023,0.24383356,,Europe,2023,2020
Belgium,BEL,2023,0.2657763,,Europe,2023,2021
Belize,BLZ,2023,,,North America,2023,2023
Benin,BEN,2023,0.34395808,,Africa,2023,2021
Bermuda,BMU,2023,,,North America,2023,2023
Bhutan,BTN,2023,0.2845992,,Asia,2023,2022
Bolivia,BOL,2023,0.40913323,,South America,2023,2021
Bonaire Sint Eustatius and Saba,BES,2023,,,North America,2023,2023
Bosnia and Herzegovina,BIH,2023,,,Europe,2023,2023
Botswana,BWA,2023,,,Africa,2023,2023
Brazil,BRA,2023,0.5201522,,South America,2023,2022
British Indian Ocean Territory,IOT,2023,,,Asia,2023,2023
British Virgin Islands,VGB,2023,,,North America,2023,2023
Brunei,BRN,2023,,,Asia,2023,2023
Bulgaria,BGR,2023,0.3900545,,Europe,2023,2021
Burkina Faso,BFA,2023,0.37391287,,Africa,2023,2021
Burundi,BDI,2023,0.37456092,,Africa,2023,2020
Cambodia,KHM,2023,,,Asia,2023,2023
Cameroon,CMR,2023,0.42176074,,Africa,2023,2021
Canada,CAN,2023,0.31749648,,North America,2023,2019
Cape Verde,CPV,2023,,,Africa,2023,2023
Cayman Islands,CYM,2023,,,North America,2023,2023
Central African Republic,CAF,2023,0.43027893,,Africa,2023,2021
Chad,TCD,2023,0.373575,,Africa,2023,2022
Chile,CHL,2023,0.4304274,,South America,2023,2022
China,CHN,2023,0.35743752,,Asia,2023,2021
Christmas Island,CXR,2023,,,Asia,2023,2023
Cocos Islands,CCK,2023,,,Asia,2023,2023
Colombia,COL,2023,0.5481926,,South America,2023,2022
Comoros,COM,2023,,,Africa,2023,2023
Congo,COG,2023,,,Africa,2023,2023
Cook Islands,COK,2023,,,Oceania,2023,2023
Costa Rica,CRI,2023,0.46729344,,North America,2023,2023
Cote d'Ivoire,CIV,2023,0.35275364,,Africa,2023,2021
Croatia,HRV,2023,0.28895962,,Europe,2023,2021
Cuba,CUB,2023,,,North America,2023,2023
Curacao,CUW,2023,,,North America,2023,2023
Cyprus,CYP,2023,0.3125177,,Europe,2023,2021
Czechia,CZE,2023,0.26202103,,Europe,2023,2021
Czechoslovakia,OWID_CZS,2023,,,Europe,2023,2023
Democratic Republic of Congo,COD,2023,0.44674513,,Africa,2023,2020
Democratic Republic of Vietnam,,2023,,,Asia,2023,2023
Denmark,DNK,2023,0.28323486,,Europe,2023,2021
Djibouti,DJI,2023,,,Africa,2023,2023
Dominica,DMA,2023,,,North America,2023,2023
Dominican Republic,DOM,2023,0.36979377,,North America,2023,2022
Duchy of Modena and Reggio,,2023,,,Europe,2023,2023
Duchy of Parma and Piacenza,,2023,,,Europe,2023,2023
East Germany,OWID_GDR,2023,,,Europe,2023,2023
East Timor,TLS,2023,,,Asia,2023,2023
Ecuador,ECU,2023,0.44579506,,South America,2023,2023
Egypt,EGY,2023,0.31893092,,Africa,2023,2019
El Salvador,SLV,2023,0.38753173,,North America,2023,2022
Equatorial Guinea,GNQ,2023,,,Africa,2023,2023
Eritrea,ERI,2023,,,Africa,2023,2023
Estonia,EST,2023,0.31834,,Europe,2023,2021
Eswatini,SWZ,2023,,,Africa,2023,2023
Ethiopia,ETH,2023,,,Africa,2023,2023
Ethiopia (former),OWID_ERE,2023,,,Africa,2023,2023
Falkland Islands,FLK,2023,,,South America,2023,2023
Faroe Islands,FRO,2023,,,Europe,2023,2023
Federal Republic of Central America,,2023,,,North America,2023,2023
Fiji,FJI,2023,0.30706868,,Oceania,2023,2019
Finland,FIN,2023,0.27708507,,Europe,2023,2021
France,FRA,2023,0.31500953,,Europe,2023,2021
French Guiana,GUF,2023,,,South America,2023,2023
French Polynesia,PYF,2023,,,Oceania,2023,2023
Gabon,GAB,2023,,,Africa,2023,2023
Gambia,GMB,2023,0.38757205,,Africa,2023,2020
Georgia,GEO,2023,0.3350009,,Asia,2023,2022
Germany,DEU,2023,0.3243345,,Europe,2023,2020
Ghana,GHA,2023,,,Africa,2023,2023
Gibraltar,GIB,2023,,,Europe,2023,2023
Grand Duchy of Baden,,2023,,,Europe,2023,2023
Grand Duchy of Tuscany,,2023,,,Europe,2023,2023
Great Colombia,,2023,,,South America,2023,2023
Greece,GRC,2023,0.32939574,,Europe,2023,2021
Greenland,GRL,2023,,,North America,2023,2023
Grenada,GRD,2023,0.4381641,,North America,2023,2018
Guadeloupe,GLP,2023,,,North America,2023,2023
Guam,GUM,2023,,,Oceania,2023,2023
Guatemala,GTM,2023,,,North America,2023,2023
Guernsey,GGY,2023,,,Europe,2023,2023
Guinea,GIN,2023,0.29591954,,Africa,2023,2018
Guinea-Bissau,GNB,2023,0.33435068,,Africa,2023,2021
Guyana,GUY,2023,,,South America,2023,2023
Haiti,HTI,2023,,,North America,2023,2023
Honduras,HND,2023,0.48162824,,North America,2023,2019
Hong Kong,HKG,2023,,,Asia,2023,2023
